,CustomerID,Age,MaritalStatus,EducationLevel,Occupation,IncomeLevel,Location,MonthlyAverageBalance,NumberOfTransactionsPerMonth,ExistingBankProducts,InvestmentHorizon
43,44.0,21.0,Single,Bachelor's,Student,6259.0,Metro,6259.0,7.0,FD,Long-term
44,45.0,29.0,Single,Bachelor's,Salaried,89431.0,Metro,89431.0,13.0,Loan,Short-term
45,46.0,73.0,Married,Bachelor's,Retired,51493.0,SemiUrban,51493.0,4.0,FD,Long-term
46,47.0,46.0,Married,Bachelor's,Salaried,269765.0,Rural,269765.0,17.0,FD,Long-term
47,48.0,30.0,Married,Bachelor's,Homemaker,39476.0,Metro,39476.0,8.0,Loan,Short-term
48,49.0,63.0,Married,High School,Retired,59523.0,SemiUrban,59523.0,7.0,Loan,Mid-term
49,50.0,57.0,Married,High School,Salaried,56541.0,SemiUrban,56541.0,6.0,Loan,Mid-term
50,51.0,51.0,Married,Bachelor's,Homemaker,48597.0,Metro,48597.0,2.0,FD,Long-term
51,52.0,22.0,Single,Bachelor's,Student,7359.0,Rural,7359.0,7.0,FD,Long-term
52,53.0,36.0,Married,Master's,Salaried,283102.0,SemiUrban,283102.0,12.0,FD,Long-term
53,54.0,62.0,Married,Bachelor's,Retired,52659.0,Metro,52659.0,2.0,FD,Long-term
54,55.0,32.0,Married,Bachelor's,Business,138367.0,Metro,138367.0,10.0,Loan,Short-term
55,56.0,54.0,Married,High School,Homemaker,32078.0,Rural,32078.0,6.0,FD,Long-term
56,57.0,20.0,Single,Bachelor's,Student,8326.0,Metro,8326.0,2.0,Loan,Mid-term
57,58.0,38.0,Married,Master's,Salaried,291291.0,Metro,291291.0,16.0,FD,Long-term
58,59.0,71.0,Married,High School,Retired,54745.0,SemiUrban,54745.0,5.0,FD,Long-term
59,60.0,38.0,Married,Bachelor's,Salaried,144383.0,SemiUrban,144383.0,14.0,Loan,Long-term
60,61.0,41.0,Single,Master's,Business,215074.0,SemiUrban,215074.0,12.0,SIP,Mid-term
61,62.0,42.0,Married,Master's,Salaried,227380.0,SemiUrban,227380.0,10.0,SIP,Long-term
62,63.0,27.0,Single,Master's,Salaried,91648.0,Rural,91648.0,16.0,SIP,Mid-term
63,64.0,38.0,Married,Bachelor's,Homemaker,41425.0,Metro,41425.0,14.0,Loan,Mid-term
64,65.0,33.0,Single,Master's,Business,252947.0,Rural,252947.0,14.0,SIP,Short-term
65,66.0,47.0,Married,Bachelor's,Salaried,252513.0,Metro,252513.0,12.0,Credit Card,Long-term
66,67.0,53.0,Married,Bachelor's,Others,46472.0,Rural,46472.0,7.0,FD,Long-term
67,68.0,20.0,Single,Bachelor's,Student,5296.0,SemiUrban,5296.0,8.0,FD,Long-term
68,69.0,32.0,Married,Bachelor's,Business,209402.0,Metro,209402.0,13.0,FD,Long-term
69,70.0,69.0,Married,High School,Retired,31145.0,Metro,31145.0,4.0,SIP,Mid-term
70,71.0,26.0,Single,Bachelor's,Salaried,54635.0,SemiUrban,54635.0,7.0,FD,Long-term
71,72.0,73.0,Married,High School,Retired,56147.0,SemiUrban,56147.0,5.0,FD,Long-term
72,73.0,48.0,Married,Master's,Salaried,140869.0,Rural,140869.0,16.0,FD,Long-term
73,74.0,36.0,Married,Bachelor's,Others,114795.0,Metro,114795.0,17.0,FD,Long-term
74,75.0,56.0,Married,High School,Salaried,144584.0,Metro,144584.0,5.0,FD,Long-term
75,76.0,39.0,Married,PhD,Salaried,278016.0,Rural,278016.0,10.0,SIP,Mid-term
76,77.0,61.0,Married,High School,Retired,37744.0,Metro,37744.0,6.0,SIP,Mid-term
77,78.0,59.0,Married,High School,Self-Employed,64036.0,Rural,64036.0,7.0,FD,Long-term
78,79.0,21.0,Married,High School,Student,1816.0,Metro,1816.0,6.0,SIP,Mid-term
79,80.0,32.0,Married,Bachelor's,Business,103600.0,Metro,103600.0,10.0,SIP,Short-term
80,81.0,30.0,Married,Bachelor's,Salaried,142592.0,SemiUrban,142592.0,16.0,Loan,Short-term
81,82.0,53.0,Married,High School,Homemaker,4987.0,SemiUrban,4987.0,7.0,Credit Card,Mid-term
82,83.0,65.0,Married,High School,Retired,29117.0,Metro,29117.0,3.0,SIP,Mid-term
83,84.0,62.0,Married,Bachelor's,Retired,39257.0,Rural,39257.0,5.0,Loan,Long-term
84,85.0,20.0,Single,Bachelor's,Student,9131.0,SemiUrban,9131.0,7.0,FD,Long-term
85,86.0,34.0,Single,Bachelor's,Self-Employed,292195.0,Rural,292195.0,17.0,Loan,Mid-term
86,87.0,70.0,Married,High School,Retired,31497.0,SemiUrban,31497.0,3.0,SIP,Mid-term
87,88.0,43.0,Married,Bachelor's,Others,270855.0,Metro,270855.0,14.0,SIP,Long-term
88,89.0,67.0,Married,High School,Retired,58753.0,Rural,58753.0,7.0,FD,Long-term
89,90.0,21.0,Single,Bachelor's,Student,5153.0,SemiUrban,5153.0,13.0,Loan,Mid-term
90,91.0,35.0,Single,Bachelor's,Salaried,284725.0,Rural,284725.0,18.0,FD,Long-term
91,92.0,27.0,Single,Master's,Others,72110.0,Rural,72110.0,17.0,FD,Long-term
92,93.0,18.0,Single,High School,Student,1995.0,SemiUrban,1995.0,5.0,SIP,Long-term
93,94.0,73.0,Married,Bachelor's,Retired,37337.0,SemiUrban,37337.0,3.0,SIP,Mid-term
94,95.0,54.0,Married,Bachelor's,Others,49250.0,Rural,49250.0,4.0,SIP,Mid-term
95,96.0,19.0,Married,Bachelor's,Student,4346.0,Rural,4346.0,10.0,SIP,Short-term
96,97.0,26.0,Single,Master's,Salaried,36201.0,Rural,36201.0,11.0,FD,Long-term
97,98.0,55.0,Married,Bachelor's,Homemaker,25383.0,SemiUrban,25383.0,5.0,SIP,Mid-term
98,99.0,44.0,Married,Master's,Others,131895.0,SemiUrban,131895.0,16.0,Credit Card,Long-term
99,100.0,23.0,Single,Master's,Homemaker,38963.0,SemiUrban,38963.0,8.0,SIP,Mid-term
100,101.0,52.0,Married,High School,Salaried,68448.0,Rural,68448.0,5.0,SIP,Mid-term
101,102.0,68.0,Married,High School,Retired,37288.0,SemiUrban,37288.0,3.0,Credit Card,Mid-term
102,103.0,52.0,Married,Bachelor's,Salaried,120180.0,Rural,120180.0,9.0,Credit Card,Mid-term
103,104.0,49.0,Married,Master's,Salaried,108173.0,SemiUrban,108173.0,14.0,Credit Card,Long-term
104,105.0,53.0,Married,High School,Business,86419.0,Metro,86419.0,10.0,FD,Long-term
105,106.0,53.0,Married,High School,Others,147438.0,SemiUrban,147438.0,11.0,SIP,Mid-term
106,107.0,48.0,Married,Bachelor's,Salaried,237860.0,Rural,237860.0,13.0,FD,Long-term
107,108.0,57.0,Married,High School,Salaried,101134.0,Metro,101134.0,4.0,FD,Long-term
108,109.0,51.0,Married,Bachelor's,Salaried,46979.0,Rural,46979.0,2.0,Loan,Mid-term
109,110.0,46.0,Married,Master's,Homemaker,6013.0,Metro,6013.0,8.0,Loan,Mid-term
110,111.0,35.0,Married,Bachelor's,Salaried,88858.0,Rural,88858.0,6.0,FD,Long-term
111,112.0,40.0,Single,Bachelor's,Self-Employed,141527.0,Metro,141527.0,10.0,SIP,Mid-term
112,113.0,40.0,Married,PhD,Self-Employed,88964.0,Metro,88964.0,8.0,SIP,Mid-term
113,114.0,30.0,Married,Bachelor's,Others,115842.0,Rural,115842.0,8.0,FD,Long-term
114,115.0,50.0,Married,High School,Salaried,45669.0,Metro,45669.0,2.0,FD,Long-term
115,116.0,30.0,Married,Master's,Salaried,299251.0,Rural,299251.0,19.0,FD,Long-term
116,117.0,55.0,Married,High School,Salaried,105396.0,Rural,105396.0,7.0,SIP,Mid-term
117,118.0,28.0,Married,Bachelor's,Salaried,81548.0,Rural,81548.0,10.0,FD,Long-term
118,119.0,28.0,Married,Bachelor's,Salaried,38797.0,Metro,38797.0,12.0,FD,Long-term
119,120.0,74.0,Married,Bachelor's,Retired,38278.0,Rural,38278.0,4.0,FD,Long-term
120,121.0,25.0,Single,Bachelor's,Salaried,62784.0,Metro,62784.0,12.0,FD,Long-term
121,122.0,55.0,Married,High School,Salaried,71655.0,Rural,71655.0,5.0,SIP,Long-term
122,123.0,63.0,Married,Bachelor's,Retired,41400.0,Metro,41400.0,2.0,FD,Long-term
123,124.0,31.0,Married,Bachelor's,Others,247370.0,Metro,247370.0,17.0,Credit Card,Short-term
124,125.0,43.0,Married,Bachelor's,Homemaker,11459.0,SemiUrban,11459.0,8.0,Credit Card,Long-term
125,126.0,66.0,Married,High School,Retired,25944.0,SemiUrban,25944.0,6.0,FD,Long-term
126,127.0,19.0,Single,Bachelor's,Student,1369.0,Rural,1369.0,3.0,SIP,Short-term
127,128.0,67.0,Married,Bachelor's,Retired,56796.0,Rural,56796.0,4.0,FD,Long-term
128,129.0,67.0,Married,Bachelor's,Retired,38185.0,Rural,38185.0,2.0,FD,Long-term
129,130.0,57.0,Married,High School,Salaried,141892.0,Rural,141892.0,6.0,FD,Long-term
130,131.0,36.0,Married,High School,Others,162940.0,SemiUrban,162940.0,17.0,FD,Long-term
131,132.0,40.0,Single,Master's,Business,155765.0,Metro,155765.0,11.0,Loan,Long-term
132,133.0,34.0,Married,Master's,Self-Employed,137552.0,SemiUrban,137552.0,8.0,FD,Long-term
133,134.0,57.0,Married,Bachelor's,Others,120832.0,SemiUrban,120832.0,5.0,SIP,Mid-term
134,135.0,37.0,Married,Bachelor's,Homemaker,8853.0,Metro,8853.0,7.0,Loan,Short-term
135,136.0,30.0,Married,Master's,Salaried,173725.0,SemiUrban,173725.0,14.0,FD,Long-term
136,137.0,41.0,Married,Master's,Business,113241.0,Metro,113241.0,15.0,FD,Long-term
137,138.0,55.0,Married,Bachelor's,Salaried,82961.0,SemiUrban,82961.0,10.0,Credit Card,Mid-term
138,139.0,26.0,Single,Master's,Salaried,95269.0,SemiUrban,95269.0,8.0,Loan,Short-term
139,140.0,29.0,Married,Bachelor's,Salaried,46688.0,SemiUrban,46688.0,6.0,Credit Card,Mid-term
140,141.0,57.0,Married,High School,Salaried,135085.0,Metro,135085.0,5.0,Credit Card,Mid-term
141,142.0,23.0,Single,Bachelor's,Business,25709.0,Rural,25709.0,11.0,Loan,Mid-term
142,143.0,28.0,Single,Bachelor's,Salaried,64287.0,Rural,64287.0,18.0,FD,Long-term
143,144.0,72.0,Married,Bachelor's,Retired,46345.0,SemiUrban,46345.0,5.0,FD,Long-term
144,145.0,27.0,Single,Bachelor's,Business,50412.0,Metro,50412.0,15.0,Credit Card,Short-term
145,146.0,28.0,Married,Master's,Salaried,44149.0,Metro,44149.0,14.0,SIP,Mid-term
146,147.0,24.0,Single,Master's,Business,90451.0,Rural,90451.0,14.0,SIP,Mid-term
147,148.0,65.0,Married,Bachelor's,Retired,53367.0,SemiUrban,53367.0,4.0,Loan,Long-term
148,149.0,68.0,Married,High School,Retired,40452.0,Rural,40452.0,7.0,FD,Long-term
149,150.0,66.0,Married,Bachelor's,Retired,53195.0,Rural,53195.0,3.0,Loan,Mid-term
150,151.0,36.0,Married,Bachelor's,Salaried,128806.0,SemiUrban,128806.0,16.0,SIP,Long-term
151,152.0,58.0,Married,High School,Business,59516.0,SemiUrban,59516.0,2.0,SIP,Mid-term
152,153.0,62.0,Married,High School,Retired,31571.0,SemiUrban,31571.0,7.0,FD,Long-term
153,154.0,67.0,Married,Bachelor's,Retired,54890.0,Rural,54890.0,7.0,FD,Long-term
154,155.0,49.0,Married,Bachelor's,Others,158222.0,Rural,158222.0,17.0,SIP,Long-term
155,156.0,34.0,Married,Bachelor's,Salaried,91759.0,SemiUrban,91759.0,12.0,SIP,Mid-term
156,157.0,52.0,Married,High School,Self-Employed,42944.0,Metro,42944.0,3.0,FD,Long-term
157,158.0,18.0,Single,Bachelor's,Student,7746.0,SemiUrban,7746.0,11.0,FD,Long-term
158,159.0,22.0,Single,Bachelor's,Student,3756.0,Metro,3756.0,3.0,SIP,Mid-term
159,160.0,44.0,Married,Master's,Business,226767.0,Rural,226767.0,10.0,SIP,Mid-term
160,161.0,19.0,Single,Bachelor's,Student,1480.0,Rural,1480.0,4.0,SIP,Short-term
161,162.0,30.0,Married,Bachelor's,Homemaker,1863.0,Rural,1863.0,10.0,FD,Long-term
162,163.0,61.0,Married,Bachelor's,Retired,57809.0,Metro,57809.0,6.0,FD,Long-term
163,164.0,52.0,Married,Bachelor's,Salaried,103064.0,Rural,103064.0,11.0,Credit Card,Mid-term
164,165.0,53.0,Married,Bachelor's,Others,129566.0,Rural,129566.0,5.0,FD,Long-term
165,166.0,18.0,Single,Bachelor's,Student,4366.0,Metro,4366.0,11.0,FD,Long-term
166,167.0,51.0,Married,Bachelor's,Homemaker,19310.0,SemiUrban,19310.0,5.0,FD,Long-term
167,168.0,28.0,Married,Master's,Business,39234.0,Rural,39234.0,11.0,FD,Long-term
168,169.0,27.0,Single,Master's,Business,93271.0,Metro,93271.0,7.0,FD,Long-term
169,170.0,65.0,Married,High School,Retired,20282.0,Rural,20282.0,2.0,SIP,Mid-term
170,171.0,60.0,Married,High School,Retired,35892.0,Rural,35892.0,2.0,FD,Long-term
171,172.0,55.0,Married,Bachelor's,Salaried,110090.0,Rural,110090.0,5.0,FD,Long-term
172,173.0,22.0,Single,Bachelor's,Student,2537.0,Rural,2537.0,7.0,Loan,Short-term
173,174.0,41.0,Married,Bachelor's,Homemaker,11704.0,Metro,11704.0,13.0,FD,Long-term
174,175.0,18.0,Single,Bachelor's,Student,7836.0,Metro,7836.0,10.0,SIP,Mid-term
175,176.0,26.0,Single,Master's,Homemaker,25396.0,Metro,25396.0,11.0,SIP,Short-term
176,177.0,39.0,Married,Master's,Salaried,154729.0,Metro,154729.0,13.0,FD,Long-term
177,178.0,57.0,Married,Bachelor's,Homemaker,19462.0,SemiUrban,19462.0,4.0,Loan,Long-term
178,179.0,37.0,Married,Bachelor's,Salaried,255180.0,SemiUrban,255180.0,14.0,Credit Card,Long-term
179,180.0,48.0,Single,Master's,Homemaker,9859.0,Metro,9859.0,5.0,FD,Long-term
180,181.0,34.0,Married,PhD,Homemaker,17454.0,SemiUrban,17454.0,6.0,Loan,Mid-term
181,182.0,61.0,Married,Bachelor's,Retired,52290.0,SemiUrban,52290.0,4.0,Credit Card,Mid-term
182,183.0,29.0,Married,Bachelor's,Salaried,98006.0,SemiUrban,98006.0,19.0,FD,Long-term
183,184.0,58.0,Married,Bachelor's,Business,132646.0,Metro,132646.0,6.0,SIP,Mid-term
184,185.0,20.0,Single,Bachelor's,Student,7111.0,SemiUrban,7111.0,8.0,FD,Long-term
185,186.0,34.0,Married,Master's,Homemaker,43147.0,SemiUrban,43147.0,6.0,FD,Long-term
186,187.0,27.0,Single,Master's,Others,30934.0,SemiUrban,30934.0,10.0,FD,Long-term
187,188.0,37.0,Married,Bachelor's,Salaried,270632.0,Rural,270632.0,13.0,FD,Long-term
188,189.0,49.0,Married,Bachelor's,Salaried,112225.0,Metro,112225.0,12.0,FD,Long-term
189,190.0,47.0,Married,Master's,Salaried,173906.0,Rural,173906.0,14.0,Loan,Mid-term
190,191.0,28.0,Married,High School,Self-Employed,79879.0,Metro,79879.0,5.0,Credit Card,Mid-term
191,192.0,47.0,Single,Master's,Self-Employed,251312.0,Rural,251312.0,10.0,Credit Card,Long-term
192,193.0,60.0,Married,High School,Retired,52047.0,Metro,52047.0,5.0,Credit Card,Mid-term
193,194.0,71.0,Married,High School,Retired,54581.0,Metro,54581.0,5.0,Loan,Mid-term
194,195.0,73.0,Married,Bachelor's,Retired,31563.0,SemiUrban,31563.0,4.0,FD,Long-term
195,196.0,60.0,Married,Bachelor's,Retired,30064.0,Rural,30064.0,2.0,FD,Long-term
196,197.0,36.0,Married,High School,Salaried,202213.0,Rural,202213.0,16.0,FD,Long-term
197,198.0,36.0,Married,PhD,Self-Employed,194773.0,Rural,194773.0,11.0,SIP,Long-term
198,199.0,37.0,Married,PhD,Salaried,207275.0,Rural,207275.0,10.0,FD,Long-term
199,200.0,51.0,Married,Bachelor's,Salaried,117822.0,Metro,117822.0,9.0,Credit Card,Mid-term
200,201.0,23.0,Single,Master's,Salaried,26435.0,SemiUrban,26435.0,2.0,SIP,Mid-term
201,202.0,69.0,Married,Bachelor's,Retired,52790.0,Rural,52790.0,2.0,SIP,Mid-term
202,203.0,73.0,Married,Bachelor's,Retired,44254.0,Metro,44254.0,4.0,FD,Long-term
203,204.0,18.0,Married,Bachelor's,Student,3633.0,Rural,3633.0,13.0,SIP,Mid-term
204,205.0,44.0,Single,Bachelor's,Self-Employed,101349.0,Metro,101349.0,14.0,Loan,Mid-term
205,206.0,31.0,Married,Master's,Others,273465.0,SemiUrban,273465.0,12.0,FD,Long-term
206,207.0,32.0,Single,High School,Homemaker,36382.0,Metro,36382.0,9.0,FD,Long-term
207,208.0,19.0,Single,High School,Student,8720.0,Metro,8720.0,14.0,SIP,Short-term
208,209.0,27.0,Single,Bachelor's,Others,99600.0,Metro,99600.0,11.0,FD,Long-term
209,210.0,33.0,Married,Master's,Others,242130.0,SemiUrban,242130.0,11.0,Loan,Short-term
210,211.0,57.0,Married,Bachelor's,Homemaker,20514.0,SemiUrban,20514.0,7.0,FD,Long-term
211,212.0,26.0,Single,Bachelor's,Salaried,84278.0,SemiUrban,84278.0,10.0,SIP,Mid-term
212,213.0,68.0,Married,High School,Retired,34394.0,Rural,34394.0,3.0,FD,Long-term
213,214.0,33.0,Married,Master's,Salaried,136204.0,SemiUrban,136204.0,9.0,SIP,Mid-term
214,215.0,32.0,Married,Master's,Salaried,134315.0,Rural,134315.0,10.0,Credit Card,Mid-term
215,216.0,43.0,Married,Master's,Others,143956.0,SemiUrban,143956.0,12.0,FD,Long-term
216,217.0,25.0,Married,High School,Salaried,73456.0,Metro,73456.0,17.0,FD,Long-term
217,218.0,58.0,Married,Bachelor's,Others,60665.0,Metro,60665.0,3.0,Loan,Mid-term
218,219.0,44.0,Married,Master's,Salaried,221562.0,SemiUrban,221562.0,17.0,FD,Long-term
219,220.0,37.0,Single,Master's,Salaried,82939.0,SemiUrban,82939.0,14.0,FD,Long-term
220,221.0,73.0,Married,Bachelor's,,22286.0,Metro,22286.0,7.0,FD,Long-term
221,222.0,48.0,Single,Bachelor's,Business,114397.0,Metro,114397.0,13.0,Loan,Long-term
222,223.0,37.0,Married,High School,Others,184187.0,Metro,184187.0,10.0,FD,Long-term
223,224.0,74.0,Married,Bachelor's,Retired,23621.0,Metro,23621.0,6.0,FD,Long-term
224,225.0,68.0,Married,Bachelor's,Retired,53889.0,Metro,53889.0,4.0,FD,Long-term
225,226.0,56.0,Married,High School,Homemaker,9311.0,Rural,9311.0,7.0,Credit Card,Mid-term
226,227.0,41.0,Married,Bachelor's,Homemaker,19173.0,Rural,19173.0,9.0,FD,Long-term
227,228.0,497.0,Married,High School,Retired,31977.0,Rural,31977.0,5.0,FD,Long-term
228,229.0,46.0,Married,Bachelor's,Business,103067.0,Metro,103067.0,16.0,FD,Long-term
229,230.0,43.0,Single,Bachelor's,Salaried,212995.0,SemiUrban,212995.0,19.0,FD,Long-term
230,231.0,56.0,Married,High School,Business,111878.0,Rural,111878.0,9.0,SIP,Mid-term
231,232.0,43.0,Married,PhD,Business,285650.0,Metro,285650.0,12.0,FD,Long-term
232,233.0,32.0,Married,Master's,Self-Employed,242589.0,SemiUrban,242589.0,15.0,Credit Card,Short-term
233,234.0,25.0,Married,Master's,Homemaker,1597.0,SemiUrban,1597.0,9.0,FD,Long-term
234,235.0,38.0,Married,Master's,Self-Employed,149178.0,SemiUrban,149178.0,13.0,Loan,Long-term
235,236.0,39.0,Married,Master's,Salaried,188827.0,Rural,188827.0,12.0,FD,Long-term
236,237.0,34.0,Married,PhD,Salaried,97765.0,Metro,97765.0,9.0,FD,Long-term
237,238.0,71.0,Married,High School,Retired,36764.0,Metro,36764.0,6.0,Credit Card,Mid-term
238,239.0,37.0,Married,Bachelor's,Homemaker,29801.0,Rural,29801.0,8.0,SIP,Short-term
239,240.0,47.0,Married,Master's,Salaried,272616.0,Metro,272616.0,11.0,FD,Long-term
240,241.0,27.0,Single,Bachelor's,Homemaker,27429.0,Metro,27429.0,3.0,FD,Long-term
241,242.0,25.0,Single,Master's,Salaried,44710.0,Metro,44710.0,7.0,SIP,Short-term
242,243.0,42.0,Married,Master's,Salaried,268175.0,Metro,268175.0,14.0,FD,Long-term
243,244.0,71.0,Married,High School,Retired,47064.0,Metro,47064.0,6.0,FD,Long-term
244,245.0,20.0,Single,High School,Student,5792.0,SemiUrban,5792.0,7.0,SIP,Long-term
245,246.0,35.0,Married,PhD,Homemaker,15484.0,Metro,15484.0,5.0,FD,Long-term
246,247.0,54.0,Married,High School,Homemaker,7736.0,Metro,7736.0,5.0,SIP,Mid-term
247,248.0,24.0,Single,Bachelor's,Salaried,31221.0,Rural,31221.0,5.0,SIP,Short-term
248,249.0,38.0,Married,Bachelor's,Business,240500.0,Rural,240500.0,18.0,Loan,Mid-term
249,250.0,27.0,Married,Bachelor's,Salaried,75302.0,SemiUrban,75302.0,19.0,SIP,Short-term
250,251.0,40.0,Single,Master's,Salaried,286941.0,Metro,286941.0,10.0,SIP,Long-term
251,252.0,39.0,Married,Bachelor's,Others,171840.0,Metro,171840.0,14.0,FD,Long-term
252,253.0,26.0,Single,Bachelor's,Salaried,77810.0,Rural,77810.0,16.0,FD,Long-term
253,254.0,74.0,Married,Bachelor's,Retired,57570.0,SemiUrban,57570.0,4.0,SIP,Mid-term
254,255.0,20.0,Single,High School,Student,9395.0,Rural,9395.0,3.0,FD,Long-term
255,256.0,31.0,Married,PhD,Homemaker,46331.0,SemiUrban,46331.0,7.0,FD,Long-term
256,257.0,61.0,Married,Bachelor's,Retired,31258.0,Metro,31258.0,7.0,Credit Card,Long-term
257,258.0,32.0,Married,Master's,Business,91685.0,Rural,91685.0,14.0,Credit Card,Short-term
258,259.0,20.0,Single,Bachelor's,Student,1746.0,Rural,1746.0,13.0,FD,Long-term
259,260.0,46.0,Married,Bachelor's,Salaried,187572.0,SemiUrban,187572.0,16.0,SIP,Long-term
260,261.0,21.0,Single,Bachelor's,Student,3886.0,Metro,3886.0,4.0,SIP,Short-term
261,262.0,24.0,Single,Master's,Business,83558.0,Rural,83558.0,18.0,FD,Long-term
262,263.0,72.0,Married,High School,Retired,33312.0,Metro,33312.0,3.0,FD,Long-term
263,264.0,19.0,Married,Bachelor's,Student,9529.0,Metro,9529.0,5.0,FD,Long-term
264,265.0,60.0,Married,Bachelor's,Retired,21063.0,Metro,21063.0,5.0,Loan,Mid-term
265,266.0,44.0,Married,Master's,Others,173268.0,Metro,173268.0,11.0,FD,Long-term
266,267.0,62.0,Married,High School,Retired,54097.0,Rural,54097.0,2.0,SIP,Long-term
267,268.0,22.0,Single,Bachelor's,Student,5295.0,Metro,5295.0,14.0,SIP,Short-term
268,269.0,65.0,Married,Bachelor's,Retired,37845.0,Metro,37845.0,3.0,Loan,Mid-term
269,270.0,31.0,Married,Master's,Business,267556.0,Rural,267556.0,18.0,FD,Long-term
270,271.0,27.0,Single,Master's,Homemaker,48321.0,SemiUrban,48321.0,8.0,FD,Long-term
271,272.0,39.0,Married,Bachelor's,Homemaker,43771.0,Metro,43771.0,8.0,FD,Long-term
272,273.0,23.0,Single,Master's,Salaried,81466.0,Rural,81466.0,8.0,FD,Long-term
